,,,,,,,,,,,
序号,英文,中文释义,第一次背默,,,第二次背默,,,第三次背默,,
215,dedicate one's life to doing,一生奉献给做某事,,,,,,,,,
216,dedication,"n.敬业,献身",,,,,,,,,
217,dedicated,adj.敬业的; adj.专用的,,,,,,,,,
218,a dedicated teacher,一位敬业的老师,,,,,,,,,
219,dedicated software,专用软件,,,,,,,,,
220,deed,"n.行为,行动,事情",,,,,,,,,
221,words and deeds,言行,,,,,,,,,
222,do good deeds,做好人好事,,,,,,,,,
223,deep,"adj.深的; adv.(与deeply比较)主要修饰时间,状态,空间,介词短语等",,,,,,,,,
224,dark green,深绿色,,,,,,,,,
225,deep in thought,深入沉思,,,,,,,,,
226,a deep hidden deep beneath the ground,被深藏在地下,,,,,,,,,
227,be hidden deep beneath the ground,被深藏在地下,,,,,,,,,
228,stare deep into her eye,深深凝视着她的眼睛,,,,,,,,,
229,talk deep into the night,一直谈话到深夜,,,,,,,,,
230,deeply,"adv.与deep比较,主要用于修饰,隐喻带有情感色彩的动词，表示认真程度，还可用于修饰adj.",,,,,,,,,
231,think deeply about ...,深思……,,,,,,,,,
232,breathe deeply,深呼吸,,,,,,,,,
233,take a deep breath,深呼吸,,,,,,,,,
234,sleep deeply,睡得很沉,,,,,,,,,
235,defend,"vt./v.防御,防卫,保卫; 防守(球门); v.辩护",,,,,,,,,
236,defend the country/ border,保卫祖国/边疆,,,,,,,,,
237,defend oneself against attackers,保卫自己免受袭击者的侵害,,,,,,,,,
238,defend against danger,防范危险,,,,,,,,,
239,defend well in the football match,在足球赛中防守出色,,,,,,,,,
240,defend oneself against the charge in court,在法庭上就指控为自己辩护,,,,,,,,,
241,defence," defense,n.防御,防卫,保卫; n.辩护",,,,,,,,,
242,the last line of defence,最后一道防线,,,,,,,,,
243,in defence of ...,为了保卫……,,,,,,,,,
244,Soldiers died in defence of their country.,士兵们为了保卫他们的国家而牺牲了。,,,,,,,,,
245,in one's defence,为……辩护,,,,,,,,,
246,definite,"adj.明确的,确切的",,,,,,,,,
247,a definite answer/ reply,明确的回答/答复,,,,,,,,,
248,definitely,"adv.明确地,肯定地",,,,,,,,,
249,definition,n.定义;释义; n.清晰度,,,,,,,,,
250,by definition,"根据释义,顾名思义",,,,,,,,,
251,define,vt.①定义;②确定,,,,,,,,,
252,define ... as ...,将……定义为……,,,,,,,,,
253,define clients' needs,确定客户需求,,,,,,,,,
254,degree,n.学位; n.程度; n.度数,,,,,,,,,
255,a bachelor's degree (in physics), (物理)学士学位,,,,,,,,,
256,a master's degree (in chemistry), (化学)硕士学位,,,,,,,,,
257,a doctor's degree (in medicine), (医学)博士学位,,,,,,,,,
258,to a great degree/ extent,在很大程度上,,,,,,,,,
259,to some a certain degree/ extent,在某种程度上,,,,,,,,,
260,to such a degree/ an extent,到如此程度,,,,,,,,,
261,To what degree/ extent ...?,在多大程度上……?,,,,,,,,,
262,delay,"v./n.延期,推迟,耽搁",,,,,,,,,
263,delay doing,推迟做某事,,,,,,,,,
264,without delay,毫不迟延地,,,,,,,,,
265,delayed retirement,延迟退休,,,,,,,,,
266,delay ... by+时间,推迟/延误……时间,,,,,,,,,
267,delete,"vt.删除,删去",,,,,,,,,
268,deletion,n.删除,,,,,,,,,
269,delicate,"adj.纤弱的; adj.纤细的,精美的; adj.易碎的; 娇嫩的; adj.清淡的; adj.微妙的",,,,,,,,,
270,a delicate child,身体娇弱的孩子,,,,,,,,,
271,a delicate wrist,纤细的手腕,,,,,,,,,
272,a delicate vase,精致的花瓶,,,,,,,,,
273,a delicate glass,易碎的玻璃,,,,,,,,,
274,delicate skin,娇嫩的皮肤,,,,,,,,,
275,delicate flavor,清淡的口味,,,,,,,,,
276,the delicate balance,微妙平衡,,,,,,,,,
277,delicious,"adj.美味的,可口的",,,,,,,,,
278,delicacy,"n.美味佳肴,美食",,,,,,,,,
279,delight,"v./n.(使)高兴,(使)愉快",,,,,,,,,
280,with delight,高兴地,,,,,,,,,
281,be delighted at/ with ...,为…感到高兴,,,,,,,,,
282,be delighted to do,高兴做某事,,,,,,,,,
283,"to one's (great) delight, (much) to one's delight",令某人(大为)高兴的是,,,,,,,,,
284,"take delight(n.) in ......, delight(v.) in ...",以(尤指不好的事)为乐,,,,,,,,,
285,delighted,adj.感到高兴的,,,,,,,,,
286,delightful,adj.令人高兴的,,,,,,,,,
287,deliver,vt.投递; vt.投以; vt.发表; vt.给予; vt.接生; v.履行,,,,,,,,,
288,deliver a letter,递送一封信,,,,,,,,,
289,deliver a smile,投以微笑,,,,,,,,,
290,deliver a speech/ an address,发表演讲,,,,,,,,,
291,deliver a heavy blow,给予重击,,,,,,,,,
292,deliver a warning about ...,就……发出警告,,,,,,,,,
293,deliver (her of) a baby,医生接生婴儿,,,,,,,,,
294,be delivered of a baby,[孕妇]生下婴儿,,,,,,,,,
295,deliver on this mission,履行这个使命,,,,,,,,,
296,deliver on one's promise(s),兑现某人的承诺,,,,,,,,,
297,delivery,n.①投递;②递送的物品;③演讲风格;④打击;⑤分娩,,,,,,,,,
298,demand,"vt./n.(坚决,有权,强烈)要求; vt./n.需要",,,,,,,,,
299,demand to do,要求做某事,,,,,,,,,
300,demand that ... (should) do,要求……,,,,,,,,,
301,demand sth of sb,向某人要某物,,,,,,,,,
302,demanding,"adj.苛求的,要求高的,费力的",,,,,,,,,
303,a demanding job,要求高的工作,,,,,,,,,
304,in great demand,需求量大,,,,,,,,,
305,supply and demand,供求关系,,,,,,,,,
306,meet/ satisfy/ fill sb's demands(s)/the demands of sb (for sth),满足某人(对……)的要求,,,,,,,,,
307,"If the orchestra met the conductor's demands for high-quality music, he would weep for joy.",如果管乐队满足了指挥对高质量音乐的要求，他会喜悦而泣。,,,,,,,,,
308,demonstrate,"vt.游行示威; vt.演示; vt.展现,证明",,,,,,,,,
309,"At the exhibition, the company's sales manager demonstrated the new type of electronic toys(which/ that) children were looking forward to.",在展览会上，公司销售经理展示了孩子们所期待的新型电子玩具。,,,,,,,,,
310,demonstrate one's courage,展现出某人的勇气,,,,,,,,,
311,demonstrate one's ability to do,证实了某人做……的能力,,,,,,,,,
312,demonstrate the link between ... and ...,证实了……和……的联系,,,,,,,,,
313,dentist,n.牙医,,,,,,,,,
314,the dentists,牙医诊所,,,,,,,,,
315,deny,"vt.否定,否认; vt.拒绝",,,,,,,,,
316,deny doing,否认做某事,,,,,,,,,
317,deny that ...,否认……,,,,,,,,,
318,There is no denying+ n.,不可否认,,,,,,,,,
319,There is no denying that+句子,不可否认,,,,,,,,,
320,There is no denying the beauty of a sunset.,日落的美丽毋庸置疑。,,,,,,,,,
321,There is no denying that a sunset is beautiful.,日落的美丽毋庸置疑。,,,,,,,,,
322,denial,"n.①否定,否认;②拒绝",,,,,,,,,
323,Access to the information was denied to us.,我们无法得到情报。,,,,,,,,,
324,depart,"vi.离开,出发,起程",,,,,,,,,
325,depart (from A) for B,(离开A)出发去B,,,,,,,,,
326,departure,"n.①离开,出发;②背离",,,,,,,,,
327,departure time,离开时间,,,,,,,,,
328,department,n.部门;院系,,,,,,,,,
329,a department store,百货商店,,,,,,,,,
330,a sales department,销售部,,,,,,,,,
331,depend,"vi.依赖,依靠,取决于",,,,,,,,,
332,dependent,adj.依赖的,,,,,,,,,
333,depend on= be dependent on,①依赖; ②取决于,,,,,,,,,
334,Whether a book sells well depends on many factors.,一本书是否畅销取决于诸多因素。,,,,,,,,,
335,It all depends.,视情况而定。,,,,,,,,,
336,dependence,"n.依赖,依靠(反: in~)",,,,,,,,,
337,depress,vt.使沮丧; vt.使抑郁; vt.使萧条; vt.按下,,,,,,,,,
338,be depressed about ...,为……感到沮丧,,,,,,,,,
339,depressing,adj.令人沮丧的,,,,,,,,,
340,depressed,adj.①感到沮丧的;②患抑郁症的,,,,,,,,,
341,a depressed market,不景气的市场,,,,,,,,,
342,depression,n.①沮丧;②抑郁;③萧条,,,,,,,,,
343,the (Great) Depression,(1929-1933 年的)经济大萧条,,,,,,,,,
344,depth,n.深度;纵深,,,,,,,,,
345,in the depths of winter,在隆冬,,,,,,,,,
346,in the depths of despair,处在绝望的深渊,,,,,,,,,
347,What's the depth of the water?,水有多深?,,,,,,,,,
348,How deep is the water?,水有多深?,,,,,,,,,
349,This pond is ten meters in depth.,这池塘十米深。,,,,,,,,,
350,This pond is ten meters deep.,这池塘十米深。,,,,,,,,,
351,describe,"vt.描述,描绘,描写,形容",,,,,,,,,
352,describe ... as ...,把……描述为……,,,,,,,,,
353,description,"n.描述,描绘,描写,形容",,,,,,,,,
354,beyond description,"难以描述,无法形容",,,,,,,,,
355,desert,"n.沙漠; vt.遗弃,抛弃",,,,,,,,,
356,a desert island,荒岛,,,,,,,,,
357,deserve,"vt.值得;应受,应得",,,,,,,,,
358,"deserve sth, deserve to do","应得……,应受到……",,,,,,,,,
359,"deserve sth, deserve doing, deserve to be done",值得被做,,,,,,,,,
360,design,"vt.设计; n.设计,图案",,,,,,,,,
361,designer,n.设计师,,,,,,,,,
362,a fashion designer,时装设计师,,,,,,,,,
363,designer clothes,(著名设计师设计的)名牌服装,,,,,,,,,
364,desire,"vt./n.希望,渴望",,,,,,,,,
365,desire(v.) sth,渴望某物,,,,,,,,,
366,desire(n.) for sth,对某物的渴望,,,,,,,,,
367,desire(v./n.) to do,渴望做某事,,,,,,,,,
368,desire(v.) sb to do,渴望某人做某事,,,,,,,,,
369,desire(v.) that ...(should) do,渴望……,,,,,,,,,
370,desirable,"adj.值得拥有的,可取的,有益的",,,,,,,,,
371,desk,"n.①办公桌,书桌;②接待处,服务台",,,,,,,,,
372,at the reception desk,在接待处/服务台/前台,,,,,,,,,
373,desperate,adj.感到绝望的; adj.不顾一切的; adj.极度渴望的,,,,,,,,,
374,despair,n./vi.绝望,,,,,,,,,
375,in despair,绝望地,,,,,,,,,
376,fall into despair,陷入绝望,,,,,,,,,
377,desperation,"n.拼命,不顾一切",,,,,,,,,
378,the desperate struggle to rescue the patient,拼命救病人的努力,,,,,,,,,
379,in desperation,在走投无路之下,,,,,,,,,
380,"be desperate for sth, be desperate to do",很渴望得到某物/去做某事,,,,,,,,,
381,be in desperate need of ...,急需……,,,,,,,,,
382,despite,prep.尽管,,,,,,,,,
383,despite+名词/短语/名词性从句/the fact that,尽管……,,,,,,,,,
384,"Despite his illness, he still stuck to his post.",尽管他病了，但他依然坚守岗位。,,,,,,,,,
385,"Despite the fact that he was ill, he still stuck to his post.",尽管他病了，但他依然坚守岗位。,,,,,,,,,
386,"Despite what he had done, he failed to persuade people into believing him.",尽管他做了些事情，但他没能说服大家相信他。,,,,,,,,,
387,desert,"n.目的地,终点",,,,,,,,,
388,destination,"n.目的地,终点",,,,,,,,,
389,a tourist destination,旅游目的地,,,,,,,,,
390,destroy,"vt.破坏,毁坏,摧毁",,,,,,,,,
391,destruction,"n.破坏,毁坏,摧毁",,,,,,,,,
392,detail,"n.细节; vt.详细说明,详细列举",,,,,,,,,
393,in detail,详细地,,,,,,,,,
394,detailed,adj.详细的,,,,,,,,,
395,detect,"vt.察觉,发现",,,,,,,,,
396,detective,"adj.侦探的; n.侦探,警探",,,,,,,,,
397,a detective story,侦探小说,,,,,,,,,
398,do some detective work,做一些侦查工作,,,,,,,,,
399,determine,"vt.下决心,决定; vt.查明,确定",,,,,,,,,
400,be determined to do,下定决心做某事,,,,,,,,,
401,determined attitude,坚定的态度,,,,,,,,,
402,determination,n.决心,,,,,,,,,
403,determine the cause of the accident,查明事故原因,,,,,,,,,
404,develop,"vt.发展; v.发育;生长; vt.开发; vt.形成;出现,产生; vt.得(病),患(病)",,,,,,,,,
405,a developing country,发展中国家,,,,,,,,,
406,a developed country,发达国家,,,,,,,,,
407,an underdeveloped country,欠发达国家,,,,,,,,,
408,the least developed country,最不发达国家,,,,,,,,,
409,develop into a quarrel,演变为争吵,,,,,,,,,
410,developmental (adj.) delay,发育迟缓,,,,,,,,,
411,developer,n.发育者;成长的人; ①晚发育者;②大器晚成者,,,,,,,,,
412,a late developer,①晚发育者;②大器晚成者,,,,,,,,,
413,develop the new technology,开发新技术,,,,,,,,,
414,develop the property,开发房地产,,,,,,,,,
415,device,"n.装置,设备",,,,,,,,,
416,devote,"vt.投身,奉献",,,,,,,,,
417,"devote oneself to ......, be devoted to ...",致力于(to是介词),,,,,,,,,
418,devote one's life/ time/ energy to ...,将一生/时间/精力奉献给……(to是介词),,,,,,,,,
419,devotion,"n.献身,奉献,致力",,,,,,,,,
420,devotion to ...,对……的投入/献身,,,,,,,,,
421,diagnose,vt.诊断,,,,,,,,,
422,[某人] be diagnosed with+疾病名称,被诊断得了…,,,,,,,,,
423,[疾病] be diagnosed as+疾病名称,被诊断为…,,,,,,,,,
424,diagnosis,n.诊断,,,,,,,,,
425,diagram,"n.图表,示意图",,,,,,,,,
426,dialog(ue),n.对话,,,,,,,,,
427,diamond,"n.钻石,金刚石",,,,,,,,,
428,diary,"n.日志,日记",,,,,,,,,
429,keep a diary,"记日记,写日记",,,,,,,,,
430,dictionary,"n.字典,词典",,,,,,,,,
431,a walking dictionary,活字典,,,,,,,,,
432,refer to/ consult the dictionary,查字典,,,,,,,,,
433,look up the word(s) in the dictionary,查字典,,,,,,,,,
434,die,v.死亡,,,,,,,,,
435,die young,英年早逝,,,,,,,,,
436,die from wounds,因伤而死(from+外因),,,,,,,,,
437,die of a heart attack,死于心脏病发(of+内因),,,,,,,,,
438,die of depression,死于抑郁(of+内因),,,,,,,,,
439,die of starvation,饿死(of+内因),,,,,,,,,
440,die out,灭绝,,,,,,,,,
441,die off,相继死去,,,,,,,,,
442,die away,"(风,光,声)逐渐变弱",,,,,,,,,
443,die down,逐渐减弱,,,,,,,,,
444,diet,n.饮食,,,,,,,,,
445,a balanced diet,均衡饮食,,,,,,,,,
446,be/ go on a diet,节食,,,,,,,,,
447,differ,"vi.不同,有区别; vi.(意见)发生分歧",,,,,,,,,
448,different,adj.不同的,,,,,,,,,
449,be different from,与……不同,,,,,,,,,
450,differ from ...,与……不同,,,,,,,,,
451,be different in ...,在……方面不同,,,,,,,,,
452,differ in ...,在……方面不同,,,,,,,,,
453,differentiate,"vt.区分,辨别",,,,,,,,,
454,differentiate between A and B,将A和B区分开来,,,,,,,,,
455,differentiate A from B,将A和B区分开来,,,,,,,,,
456,differ with sb,与某人意见不一,,,,,,,,,
457,difference,"n.[C]差异,不同;分歧",,,,,,,,,
458,the difference(s) between A and B,A与B之间的差异,,,,,,,,,
459,the difference(s) in ...,在……方面的不同,,,,,,,,,
460,make a difference,"起作用,有效果,有影响",,,,,,,,,
461,make no/ little difference,一点作用也没有,,,,,,,,,
462,difficult,"adj.困难的,艰难的",,,,,,,,,
463,a difficult student,学困生,,,,,,,,,
464,difficulty,"困难,艰难",,,,,,,,,
465,have difficulty (in) doing,做某事有困难,,,,,,,,,
466,in difficulty/ difficulties,处在困境中,,,,,,,,,
467,with difficulty/ difficulties,"困难地,吃力地",,,,,,,,,
468,dig,"vt./n.挖,掘,挖掘",,,,,,,,,
469,dig up details,挖掘细节,,,,,,,,,
470,digest,"vt.消化,吸收; vt.理解,领悟",,,,,,,,,
471,digest the food,消化食物,,,,,,,,,
472,digest a book,理解一本书,,,,,,,,,
473,digestion,"n.①消化,吸收;②理解,领悟",,,,,,,,,
474,digital,"adj.数字的,数码的",,,,,,,,,
475,a digital camera,数码相机,,,,,,,,,
476,digit,n.[数]数位,,,,,,,,,
477,four digits,四位数,,,,,,,,,
478,dignity,n.尊严,,,,,,,,,
479,live with dignity,有尊严地生活,,,,,,,,,
480,dimension,"n.(空间)维度; n.方面,层面,侧面; n.(~s)规模,程度,范围",,,,,,,,,
481,dimensional,adj.维度的,,,,,,,,,
482,a three dimensional structure,三维结构,,,,,,,,,
483,add a new dimension to her life,为她的生活增添新的内容,,,,,,,,,
